entity_code,building_name,address,city,zip,type,units
106,5 West 14th Owners Corp.,10 West 15th Street,New York,10011,Coop,429
123,Beverly House Co. (Sponsor units only),84-51 Beverly Rd,Kew Gardens,11415,Coop,5
138,Morgan House Condominium,153 East 87th St,New York,10128,Condo,48
140,29-45 Tenants Corp.,29 East 9th St /  35 East 9th St /  45 East 9th St,New York,10003,Coop,90
148,130 E. 18 Owners Corp.,130 East 18th St,New York,10003,Coop,280
159,5601 Riverdale Owners Corp.,5601 Riverdale Avenue,Bronx,10471,Coop,114
168,310 East 49th Owners Corp.,310 East 49th St,New York,10017,Coop,101
204,444 East 86th Street Owners Corp.,444 East 86th St,New York,10028,Coop,315
205,77 Bleecker Commercial Prop,77 Bleecker St,New York,10012,Comm/Retail,46
206,77 Bleecker Street Corp.,77 Bleecker St,New York,10012,Coop,243
210,210 Central Park South Inc.,210 Central Park South,New York,10019,Coop,86
212,221 East  36th Owners Corp.,225 East 36th St,New York,10016,Coop,285
215,The Armory Owners Inc.,529 West 42nd St,New York,10036,Coop,165
216,315 East 70th Street Apartment Corp.,315 East 70th St,New York,10021,Coop,125
217,The Armory Condominium,529 West 42nd St,New York,10036,Cond-Op,2
224,159 Madison Owners Corp.,159 Madison Avenue,New York,10016,Coop,119
227,Regent House Tenants Corp.,25 West 54th St,New York,10019,Coop,73
228,52 Riverside Drive Owners Corp.,52 Riverside Drive,New York,10024,Coop,47
301,"Sheepshead Terrace Coop, Inc.",2427 East 29th St / 2461 East 29th St,Brooklyn,11235,Coop,168
302,205 Water Street Condo,205 Water St,Brooklyn,11201,Condo,64
308,Fillmore Gardens Cooperative,2012 Pearson St (main office address),Brooklyn,11234,Coop,340
309,Jsignal LLC,76 North 4th St,Brooklyn,11249,Rental,82
340,Pierhouse Condominium,90 Furman St /  130 Furman St,Brooklyn,11201,Condo,130
342,Lincoln Sponsor LLC,31-33 Lincoln Rd / 510 Flatbush Avenue,Brooklyn,11225,Rental,158
343,The 306 Gold Street Condominium,306 Gold St,Brooklyn,11201,Condo,303
344,234 Starr Street Developers LLC,234 Starr St,Brooklyn,11237,Comm/Retail,7
345,H & L Broadway Holding LLC,29-10 Broadway,Astoria,11106,Rental,64
347,500 Waverly Condominium,500 Waverly Avenue,Brooklyn,11238,Condo,48
348,Ariana Condominium,29 Tiffany Place,Brooklyn,11231,Condo,70
351,The Nexus,520 Dean Street,Brooklyn,11217,Condo,78
352,One Grand Army Plaza,1 Grand Army Plaza,Brooklyn,11238,Condo,96
354,Ansonia Muse Condominium,444 12th Street,Brooklyn,11215,Condo,37
355,Glassworks at 336 Himrod,336 Himrod street,Brooklyn,11237,Rental,63
357,315 St.John's Owners Inc (Back Office ONLY),315 St Johns Pl,Brooklyn,11238,Coop,47
358,35 Prospect Park West,35 Prospect Park West,Brooklyn,11215,Coop,74
359,Ansonia Clockworks Condominium,438 12th Street,Brooklyn,11215,Condo,35
360,The Oosten Condominium,429 Kent,Brooklyn,11249,Condo,216
410,Booth Street Owners Corp.,67-76 Booth St,Forest Hills,11375,Coop,128
434,45 Kew Gardens Owners Inc.,45 Kew Gardens Road,Kew Gardens,11415,Coop,96
437,Crescent Tenants Corp.,31-85 Crescent St,Astoria,11106,Coop,115
438,B.G. Apartments,102-55 67th Drive,Forest Hills,11375,Coop,71
440,Kenwood Gardens,160 Middle Neck Road,Great Neck,11021,Coop,66
442,North Shore Towers,(Building 1 - 27110 Grand Central Parkway) (Building 2 - 27010 Grand Central Parkway) (Building 3 - 26910 Grand Central Parkway),Floral Park,11005,Coop,1844
500,2575 Owners Corp.,2575 Palisade Avenue,Bronx,10463,Coop,143
501,Mayflower Terrace Inc,1720 Mayflower Avenue,Bronx,10461,Mitchell Lama,120
507,Chatterton Terrace Inc,1041 Puglsey Avenue,Bronx,10472,Mitchell Lama,132
510,Hugh Grant Gardens HDFC,1966 Newbold Avenue,Bronx,10472,Coop,139
703,The 160 East 22nd Street Condominium,160 East 22nd St,New York,10010,Condo,82
710,157 East 72nd Street Condominium,157 East 72nd St,New York,10021,Condo,147
715,The Parkwood Condominium,31 East 28th St,New York,10016,Condo,22
717,240-79 Owners Corp.,240 East 79th St,New York,10075,Coop,66
718,440 East 79th Street Owners Corp.,440 East 79th St,New York,10025,Coop,218
719,33 Greenwich Owners Corp.,33 Greenwich Avenue,New York,10014,Coop,148
724,Cherokee Owners Corp.,509 East 77th St / 517 East 77th St / 508 East 78th St /  516 East 78th St,New York,10075,Coop,384
727,141 East Third Owners Corp.,141 East 3rd St,New York,10009,Coop,100
732,303 East 33rd Street Condominium,303 East 33rd St,New York,10016,Condo,129
733,142 E 16 Cooperative Owners' Inc.,142 East 16th St,New York,10003,Coop,137
738,Cheltoncort,360 West 21st St,New York,10011,Coop,53
743,323-325-327 West 11th St Owners Corp,323 West 11th St / 325 West 11th St / 327 West 11th St,New York,10014,Coop,39
745,The Abingdon Condominium,320 West 12th St,New York,10014,Condo,9
746,545 West Corp.,545 West 111th St,New York,10025,Coop,133
747,545 W 111th Street Condominium,545 West 111th St,New York,10025,Cond-Op,5
749,125 West 96th Street Owners Corp.,125 West 96th St,New York,10025,Coop,59
805,The Hopkins Condominium,172 West 79th St,New York,10024,Condo,98
806,110 West 86th Street Condominium,110 West 86th St,New York,10024,Condo,79
808,400 Park Avenue South,400 Park Avenue South,New York,10016,Condo,81
809,305 East 24th Owners Corp a/k/a New York Towers,305 East 24th St,New York,10010,Coop,388
810,150 West 87th Owners Corp.,150 West 87th St,New York,10024,Coop,41
813,100 Barrow Street Apartment Corp.,100 Barrow St,New York,10014,Coop,33
818,175 West 10th Street Condominium,130 Seventh Avenue South,New York,10014,Condo,5
823,121 East 22nd Street Condominium,121 East 22nd St,New York,10010,Condo,140
824,10 Provost Square Condominium,10 Provost St,Jersey City,07302,Condo,242
826,147 Wavarly Place Condominium,147 Wavarly Place,New York,10014,Condo,18
829,41 Fifth Owners Corp,41 Fifth Avenue,New York,10003,Coop,88
831,91 Leonard Street Condominium,91 Leonard St,New York,10013,Condo,111
834,Turtle Bay Towers Corp.,310 East 46th St,New York,10017,Coop,338
835,Alfie Arms Corp.,245 West 74th St,New York,10023,Coop,59
836,309 East 87th Tenants' Corp.,309 East 87th St,New York,10128,Coop,122
837,580 West End Avenue Corp.,580 West End Avenue,New York,10024,Coop,17
838,Rose Hill Condominium,30 East 29th St,New York,10016,Condo,123
839,415 East 80th Street Housing Corp.,415 East 80th St,New York,10075,Coop,78
840,100 Norfolk Street Condominium,100 Norfolk St,New York,10002,Condo,38
841,150 East 78th Street Condominium,150 East 78th St,New York,10075,Condo,25
842,69 West 9 Street Owners Corp.,69 West 9th St,New York,10011,Coop,106
846,Vitre Condominium,302 East 96th St,New York,10128,Condo,48
847,The Orion - 350 West 42nd Street,350 West 42nd St,New York,10036,Condo,551
848,1045 Madison Condominium (The Benson),1045 Madison Avenue,New York,10075,Condo,15
849,1435 Tenants Corp.,1435 Lexington Avenue,New York,10128,Coop,64
850,LL 141 East 26th Street LLC,141 East 26th St,New York,10010,Rental,35
851,LL 218 East 81st Street LLC,218 East 81st St,New York,10028,Rental,17
852,LL 216 East 83rd Street LLC,216 East 83rd St,New York,10028,Rental,20
853,LL 1324 Lexington Avenue LLC,1324 Lexington Avenue,New York,10128,Rental,25
854,LL 1371 First Avenue LLC,1371 1st Avenue,New York,10021,Rental,15
855,LL 204 East 84th Street LLC,204 East 84th St,New York,10028,Rental,39
856,LL 505 East 88th Street LLC,505 East 88th St,New York,10128,Rental,38
857,LL 410 East 78th Street LLC,410 East 78th St,New York,10075,Rental,17
858,LL 1361 Lexington Avenue LLC,1361 Lexington Avenue,New York,10128,Rental,9
859,LL 1592 Second Avenue LLC,1592 2nd Avenue,New York,10028,Rental,18
860,LL 450 East 81st Street LLC,450 East 81st St,New York,10028,Rental,38
861,LL 305 East 78th Street LLC,305 East 78th St,New York,10075,Rental,20
862,LL 204 East 25th Street LLC,204 East 25th St,New York,10010,Rental,41
863,LL 205-215 East 88th Street LLC,205-215 East 88th St,New York,10128,Rental,40
864,LL 7 Jones Street LLC,7 Jones St,New York,10014,Rental,20
865,Lemle Master (204 East 83rd),204 East 83rd St,New York,10028,Rental,0
867,205215 Owners LTD,205 East 88th St / 207 East 88th St /  209 East 88th St / 211 East 88th St / 213 East 88th St / 215 East 88th St,New York,10128,Coop,120
868,425 East 51st Street Condominium,425 East 51st St,New York,10022,Condo,81
869,100 West 18th Street Condominium,100 West 18th St,New York,10011,Condo,47
870,13193 Owners Corp.,131 East 93rd St,New York,10128,Coop,35
871,The 456 West 19th Street Condominium,456 West 19th St,New York,10011,Condo,22
872,SouthBridge Towers,"90 Beekman St, 80 Gold St, 77 Fulton St, 80 Beekman St, 90 Gold St, 66 Frankfort St, 100 Beekman St, 333 Pearl St, 299 Pearl St",New York,10038,Coop,1651
874,200 East 83rd Street Condominium,200 East 83rd St,New York,10028,Condo,85
875,150 West 82nd Street Condominium,150 West 82nd St,New York,10024,Condo,27
876,105 West 73rd Owners Corp,105 West 73rd St,New York,10023,Coop,39
878,260 West Broadway Condominium,260 West Broadway,New York,10013,Condo,50
879,The 22 Bond Street Condominium,22 Bond St,New York,10012,Condo,6
880,1165 Madison Avenue,1165 Madison Ave,New York,10028,Condo,11
881,"200 West 79th Street Owners, Inc",200 West 79th St,New York,10024,Coop,241
882,200 West 79th Street Condominium,200 West 79th St,New York,10024,Cond-Op,3
883,33 East 74th Street Condominium,33 East 74th St,New York,10021,Condo,10
884,169 Hudson Street Condominium,169 Hudson St,New York,10013,Condo,14
885,Fifth Avenue and 60th Street Corp.,785 Fifth Avenue,New York,10022,Coop,54
886,233 East 69th Street Owners Corp.,233 East 69th St,New York,10021,Coop,192
901,233 East 69th Street Condominium,233 East 69th St,New York,10021,Cond-Op,10
902,411 East 53rd Street Condominium,411 East 53rd St,New York,10022,Condo,191
903,265 River Owners Corp.,265 Riverside Drive,New York,10025,Coop,75
904,151 Bay Street Condominium,151 Bay St,Jersey CIty,07302,Condo,240
905,515 Tenants Corp,515 West End Avenue,New York,10024,Coop,60
906,93 Worth Street Condominium,93 Worth Street,New York,10013,Condo,92
907,The Chelsea House,130 West 19th Street,New York,10011,Condo,64
908,Forum Owners Corp,343 East 74th Street,New York,10021,Coop,148
909,Hudson View Gardens,116 Pinehurst Ave,New York,10033,Coop,353
910,Fort Tryon Apartments,245 Bennett Avenue 259 Bennett Avenue 273 Bennett Avenue 295 Bennett Avenue 4489 Broadway 4501 Broadway 4523 Broadway,NY,10040,Coop,352
912,The 176 East 82nd Street Condominium AKA Etage Condominium,176 East 82nd Street,NY,10028,Condo,9
913,The Pythian Condominium,135 West 70th Street,NY,10023,Condo,84
915,93rd Street Owners Corp,125 East 93rd Street,New York,10128,Coop,29
916,505 WE Owners Corp.,505 West End Ave,New York,10024,Coop,68
917,980 Fifth Avenue Corp,980 Fifth Ave,New York,10075,Coop,45
918,"162 East 80th Street Tenants, Inc",162 East 80th Street,New York,10075,Coop,26
919,980 Fifth Avenue Corp. - Garage,980 Fifth Ave,New York,10075,Coop,74
920,Gramercy Arms Corp,102 East 22nd Street,New York,10010,Coop,89
921,The Liberty House,377 Rector Pl.,New York,10280,Condo,239
922,181 MacDougal Street Condominium,181 Macdougal St,New York,10011,Condo,16
923,89th & Madison Owners Corp,45 East 89th Street,New York,10128,Coop,251
924,The 45 East 89th Street Condominium,45 East 89th Street,New York,10128,Cond-Op,5
925,Blue Condominium,105 Norfolk Street,New York,10002,Condo,30
926,Gramercy Towers Owners Corp,4 Lexington Ave,New York,10010,Coop,160
927,River and Warren Condominium,212 Warren Street,New York,10282,Condo,166
929,200 E 75th Street Condominium,200 East 75th Street,New York,10021,Condo,36
930,12 E 13th Street Condominium,12 E 13th Street,New York,10003,Condo,8
931,"771 West End Avenue, Inc",771 W End Ave,New York,10025,Coop,78
932,155 West 18th St. Condo - (The Flynn),155 West 18th Street,New York,10011,Condo,30
933,"132 East 35th Street Owners, Inc.",132 East 35th Street,New York,10017,Coop,187
934,The Millennium Tower Residences,30 West Street,New York,10004,Condo,236
935,The Warren House Condominium,155 East 34th Street,New York,10016,Condo,339
936,The Regatta Condominium,21 South End Avenue,New York,10280,Condo,181
937,Liberty Terrace Condominium,380 Rector,New York,10280,Condo,247
938,The Cove Club Condominium,2 South End Avenue,New York,10280,Condo,165
939,305 Equites Corp,305 West 86th Street,NY,10024,Coop,49
940,"Newport East, Inc.",370 East 76th Street,New York,10021,Coop,364
941,325 West 86th Corp,325 West 86th Street,New York,10024,Coop,49
942,The Kalahari Condominium,40 W 116th Street,New York,10026,Condo,249
943,The Halcyon Condominium,305 E 51st Street,New York,10022,Condo,123
